Abkhazians,Abkhazia
Afghans,Afghanistan
Ålanders,Åland
Albanians,Albania
Algerians,Algeria
American Samoans,American Samoa
Americans,United States of America
Andorrans,Andorra
Angolans,Angola
Anguillans,Anguilla
Antarctic residents, Antarcticans,Antarctica
Antiguans,Antigua and Barbuda
Argentines,Argentina
Argentinians,Argentina
Armenians,Armenia
Arubans,Aruba
Australians,Australia
Austrians,Austria
Azerbaijanis,Azerbaijan
Azeris,Azerbaijan
Bahamians,The Bahamas
Bahrainis,Bahrain
Bangladeshis,Bangladesh
Banyarwanda,Rwanda
Barbadians,Barbados
Barbudans,Antigua and Barbuda
Barthélemois,Saint Barthélemy
Barthélemoises,Saint Barthélemy
Barundi,Burundi
Basotho (singular Mosotho),Lesotho
Batswana (singular Motswana),Botswana
Belarusians,Belarus
Belgians,Belgium
Belizeans,Belize
Beninese,Benin
Beninois,Benin
Bermudans,Bermuda
Bermudians,Bermuda
Bhutanese,Bhutan
Bissau-Guineans,Guinea-Bissau
Bolivians,Bolivia
Bonaire Dutch,Bonaire
Bosnians,Bosnia and Herzegovina
Bouvet Islanders,Bouvet Island
Brazilians,Brazil
British,British Indian Ocean Territory
British people,United Kingdom of Great Britain and Northern Ireland
British Virgin Islanders,British Virgin Islands
Britons,United Kingdom of Great Britain and Northern Ireland
Bruneians,Brunei
Bulgarians,Bulgaria
Burkinabé,Burkina Faso
Burkinabè,Burkina Faso
Burundians,Burundi
Cabo Verdeans,Cabo Verde
Cambodians,Cambodia
Cameroonians,Cameroon
Canadians,Canada
Caymanians,Cayman Islands
Central Africans,Central African Republic
Chadians,Chad
Chileans,Chile
Chinese,China
Christmas Islanders,Christmas Island
Cocos Islanders,Cocos (Keeling) Islands
Colombians,Colombia
Comorans,Comoros
Comorians,Comoros
Congolese,Democratic Republic of the Congo
Congolese,Democratic Republic of the Congo
Cook Islanders,Cook Islands
Costa Ricans,Costa Rica
Croatians,Croatia
Croats,Croatia
Cubans,Cuba
Curaçaoans,Curaçao
Cypriots,Cyprus
Czechs,Czech Republic
Danes,Denmark
Djiboutians,Djibouti
Dominicans,Dominica
Dominicans,Dominica
Dutch,Netherlands
Dutchmen and Dutchwomen,Netherlands
Ecuadorians,Ecuador
Egyptians,Egypt
Emiratis,United Arab Emirates
Emiri,United Arab Emirates
Emirians,United Arab Emirates
English,England
Englishmen and Englishwomen,England
Equatoguineans,Equatorial Guinea
Equatorial Guineans,Equatorial Guinea
Eritreans,Eritrea
Estonians,Estonia
Ethiopians,Ethiopia
Europeans,European Union
Falkland Islanders,Falkland Islands
Faroese,Faroe Islands
Fijians,Fiji
Filipinas,Philippines
Filipinos,Philippines
Finns,Finland
Formosans,Taiwan[n]
French,France
French,France
French Guianese,French Guiana
French Polynesians,French Polynesia
Frenchmen and Frenchwomen,France
Futunans,Wallis and Futuna
Gabonaise,Gabon
Gabonese,Gabon
Gambians,The Gambia
Georgians,Georgia
Germans,Germany
Ghanaians,Ghana
Gibraltarians,Gibraltar
Greeks,Greece
Greenlanders,Greenland
Grenadians,Grenada
Guadeloupeans,Guadeloupe
Guadeloupians,Guadeloupe
Guamanians,Guam
Guatemalans,Guatemala
Guernseymen and Guernseywomen,Guernsey
Guineans,Guinea
Guyanese,Guyana
Habesha,Ethiopia
Haitians,Haiti
Heard Islanders,Heard Island and McDonald Islands
Hellenes,Greece
Herzegovinians,Bosnia and Herzegovina
Hondurans,Honduras
Hong Kongese,Hong Kong
Hongkongers,Hong Kong
Hungarians,Hungary
Icelanders,Iceland
I-Kiribati,Kiribati
Indians,India
Indonesians,Indonesia
Iranians,Iran
Iraqis,Iraq
Irish,Ireland
Irishmen and Irishwomen,Ireland
Israelis,Israel
Italians,Italy
Ivorians,Ivory Coast
Jamaicans,Jamaica
Jan Mayen residents,Jan Mayen
Japanese,Japan
